# ang_deg abs(r)**2 abs(t)**2 r.real r.imag t.real t.imag
0.1 0.935395 3.29989e-190 -0.77368 -0.580357 -2.00652e-96 -1.80544e-95 
0.1019 0.934072 8.76988e-190 -0.765715 -0.589705 -2.31214e-96 -2.95236e-95 
0.1038 0.932742 2.37561e-189 -0.757618 -0.598963 -2.18994e-96 -4.8691e-95 
0.1057 0.931405 6.56008e-189 -0.749389 -0.608129 -8.94333e-97 -8.09894e-95 
0.1076 0.930061 1.847e-188 -0.741029 -0.617201 3.20282e-96 -1.35867e-94 
0.1095 0.92871 5.30292e-188 -0.732537 -0.626178 1.35557e-95 -2.29881e-94 
0.1114 0.92735 1.55284e-187 -0.723914 -0.635058 3.73658e-95 -3.92286e-94 
0.1133 0.925983 4.63847e-187 -0.715161 -0.643839 8.94896e-95 -6.75158e-94 
0.1152 0.924608 1.41362e-186 -0.706277 -0.652518 2.00393e-94 -1.17195e-93 
0.1171 0.923224 4.39617e-186 -0.697264 -0.661096 4.32374e-94 -2.05164e-93 
0.119 0.921831 1.39533e-185 -0.68812 -0.669569 9.1276e-94 -3.62218e-93 
0.1209 0.92043 4.52086e-185 -0.678848 -0.677935 1.9021e-93 -6.44908e-93 
0.1228 0.919019 1.4955e-184 -0.669446 -0.686193 3.93486e-93 -1.15787e-92 
0.1247 0.917599 5.05188e-184 -0.659916 -0.694341 8.11142e-93 -2.09617e-92 
0.1266 0.916168 1.74304e-183 -0.650257 -0.702377 1.67072e-92 -3.82611e-92 
0.1285 0.914728 6.14377e-183 -0.640471 -0.710299 3.44515e-92 -7.0405e-92 
0.1304 0.913277 2.21271e-182 -0.630557 -0.718105 7.12304e-92 -1.30588e-91 
0.1323 0.911815 8.14451e-182 -0.620516 -0.725793 1.47837e-91 -2.44109e-91 
0.1342 0.910343 3.06444e-181 -0.610349 -0.73336 3.08299e-91 -4.59778e-91 
0.1361 0.908858 1.1789e-180 -0.600055 -0.740805 6.46481e-91 -8.72331e-91 
0.138 0.907362 4.63811e-180 -0.589635 -0.748126 1.36399e-90 -1.66663e-90 
0.1399 0.905854 1.86656e-179 -0.57909 -0.75532 2.89708e-90 -3.20508e-90 
0.1418 0.904333 7.68573e-179 -0.56842 -0.762385 6.19725e-90 -6.20092e-90 
0.1437 0.902799 3.23873e-178 -0.557626 -0.769319 1.33564e-89 -1.20615e-89 
0.1456 0.901252 1.39707e-177 -0.546707 -0.77612 2.90117e-89 -2.35668e-89 
0.1475 0.89969 6.17066e-177 -0.535665 -0.782786 6.35288e-89 -4.62034e-89 
0.1494 0.898115 2.79143e-176 -0.5245 -0.789313 1.40277e-88 -9.07567e-89 
0.1513 0.896525 1.29366e-175 -0.513212 -0.7957 3.12397e-88 -1.78255e-88 
0.1532 0.89492 6.14382e-175 -0.501803 -0.801944 7.01795e-88 -3.49092e-88 
0.1551 0.893299 2.99091e-174 -0.490272 -0.808043 1.5906e-87 -6.78896e-88 
0.157 0.891663 1.49295e-173 -0.47862 -0.813994 3.63756e-87 -1.30295e-87 
0.1589 0.890009 7.64356e-173 -0.466847 -0.819794 8.39452e-87 -2.44288e-87 
0.1608 0.888339 4.01507e-172 -0.454955 -0.825442 1.955e-86 -4.39375e-87 
0.1627 0.88665 2.1646e-171 -0.442944 -0.830934 4.59489e-86 -7.30048e-87 
0.1646 0.884944 1.19811e-170 -0.430815 -0.836267 1.08989e-85 -1.01245e-86 
0.1665 0.883219 6.81079e-170 -0.418567 -0.841439 2.60885e-85 -6.84184e-87 
0.1684 0.881474 3.97775e-169 -0.406203 -0.846447 6.30146e-85 2.62979e-86 
0.1703 0.879709 2.38768e-168 -0.393722 -0.851288 1.53567e-84 1.71478e-85 
0.1722 0.877923 1.4736e-167 -0.381125 -0.855959 3.77513e-84 6.95979e-85 
0.1741 0.876115 9.3544e-167 -0.368413 -0.860457 9.35884e-84 2.4405e-84 
0.176 0.874286 6.11032e-166 -0.355587 -0.864779 2.33886e-83 8.00035e-84 
0.1779 0.872433 4.10871e-165 -0.342648 -0.868922 5.8892e-83 2.5307e-83 
0.1798 0.870557 2.84531e-164 -0.329597 -0.872882 1.49308e-82 7.84873e-83 
0.1817 0.868656 2.03016e-163 -0.316433 -0.876656 3.80792e-82 2.4086e-82 
0.1836 0.866729 1.49318e-162 -0.303159 -0.880241 9.7575e-82 7.3559e-82 
0.1855 0.864776 1.13262e-161 -0.289776 -0.883632 2.50785e-81 2.24429e-81 
0.1874 0.862796 8.86459e-161 -0.276283 -0.886828 6.44987e-81 6.85895e-81 
0.1893 0.860787 7.16253e-160 -0.262683 -0.889823 1.65427e-80 2.10378e-80 
0.1912 0.858749 5.97775e-159 -0.248976 -0.892614 4.20964e-80 6.48509e-80 
0.1931 0.856681 5.15603e-158 -0.235164 -0.895197 1.05422e-79 2.01113e-79 
0.195 0.85458 4.59886e-157 -0.221247 -0.897569 2.56206e-79 6.27889e-79 
0.1969 0.852447 4.24428e-156 -0.207228 -0.899724 5.88088e-79 1.97444e-78 
0.1988 0.85028 4.05553e-155 -0.193106 -0.90166 1.19582e-78 6.25502e-78 
0.2007 0.848078 4.01478e-154 -0.178884 -0.90337 1.71225e-78 1.99636e-77 
0.2026 0.845838 4.12042e-153 -0.164563 -0.904852 -1.32546e-78 6.41768e-77 
0.2045 0.843561 4.38724e-152 -0.150145 -0.9061 -2.7122e-77 2.07694e-76 
0.2064 0.841243 4.84986e-151 -0.13563 -0.907109 -1.6701e-76 6.76087e-76 
